J015	MN	2013	PRJNA279196	SAMN11822175		SRR9118300
J016	MN	2013	PRJNA279196	SAMN03702674	CP011752	SRR5070915,SRR5071056,SRR5851482,SRR5851486
J017	MN	2013	PRJNA279196	SAMN11822176		SRR9118299
J018	MN	2013	PRJNA279196	SAMN03455372	CP011208	SRR5070701,SRR5070870,SRR5851463,SRR5851485
J019	MN	2013	PRJNA279196	SAMN03702675	CP011753	SRR5070968,SRR5902560,SRR5902561
J020	MN	2013	PRJNA279196	SAMN11822177		SRR9118302
J077	MN	2013	PRJNA279196	SAMN07352197	CP025344	SRR5829796,SRR5829835
J078	MN	2013	PRJNA279196	SAMN07137592	CP021401	SRR5829847
J079	MN	2013	PRJNA279196	SAMN11822197		SRR9118432
J080	MN	2013	PRJNA279196	SAMN11822198		SRR9118427
J101	MN	2013	PRJNA279196	SAMN11822203		SRR9118434
J103	MN	2014	PRJNA279196	SAMN04383578	CP013887	SRR5070680,SRR5071082
J104	MN	2014	PRJNA279196	SAMN04383579	CP013888	SRR5070828,SRR5070894
J105	MN	2014	PRJNA279196	SAMN04383580	CP013889	SRR5070938,SRR5071067
J106	MN	2014	PRJNA279196	SAMN07352200		SRR5829753,SRR5829838
J107	MN	2014	PRJNA279196	SAMN03854500	CP012088	SRR5070895
J108	MN	2014	PRJNA279196	SAMN05751692	CP017163	SRR5829860,SRR5829868
J109	MN	2014	PRJNA279196	SAMN05751693	CP017162	SRR5829807,SRR5829846
J110	MN	2014	PRJNA279196	SAMN03702689	CP011767	SRR5070759
J111	MN	2014	PRJNA279196	SAMN07352201		SRR5829877
J152	MN	2014	PRJNA279196	SAMN04383586	CP013895	SRR5070752,SRR5071018
J153	MN	2014	PRJNA279196	SAMN05716051	CP017123	SRR5829764,SRR5829864
J154	MN	2014	PRJNA279196	SAMN05716052	CP017122	SRR5829745,SRR5829837
J155	MN	2014	PRJNA279196	SAMN04383587	CP013896	SRR5070717,SRR5071089
J157	MN	2014	PRJNA279196	SAMN07352206		SRR5829821,SRR5829875
J159	MN	2014	PRJNA279196	SAMN04383588	CP013897	SRR5070677,SRR5070843
J160	MN	2014	PRJNA279196	SAMN05716053	CP017119	SRR5829776,SRR5829839
J161	MN	2014	PRJNA279196	SAMN04383589	CP013898	SRR5070822,SRR5071025
J222	MN	2014	PRJNA279196	SAMN05751695	CP017165	SRR5829760,SRR5829836
J223	MN	2014	PRJNA279196	SAMN05751696	CP017160	SRR5829843,SRR5829872
J224	MN	2014	PRJNA279196	SAMN05751697	CP017164	SRR5829792,SRR5829825
J225	MN	2014	PRJNA279196	SAMN04221200	CP013096	SRR5070694,SRR5070755
